"","X","Subclass","Superorder","Order","Family","Genus","EDGE_Scientific_name","IUCN_Scientific_name","Red.List.status","status.color","mean","median","five.percent","ninety.five.percent","min","max","EDGEScientificName","IUCNScientificName","habitat2","TLmax_cm","mindepth_m","maxdepth_m","mediandepth_m","depthrange_m","l10TLmax_cm","l10mindepth_m","l10maxdepth_m","l10depthrange_m","rlbincat3","predict","predictTLMin","thr_tl","thr_tlmindep","thr_tlcol","thr_tlmindepcol","Red.List.status.new","Red.List.status.new.color","Data.type","area.x","Shape_Leng","Shape_Area","area.y","mi.lat","max.lat","lat.range","G.species"
"132",981,"Elasmobranchii","Squalimorphs","Squaliformes","Centrophoridae","Centrophorus","Centrophorus_moluccensis","Centrophorus moluccensis","DD","#D1D1C6",51.6522405,49.22507343,16.11665269,98.05507575,10.80606815,138.7374109,"Centrophorus moluccensis","Centrophorus moluccensis","Deepwater",100,125,820,472.5,695,2,2.096910013,2.913813852,"2.841984805",NA,0.363429641,0.207026852,"notTHR","notTHR","green","green","notTHR","#90E2F6","molecular",2294600,417.6991547,202.0305639,2294600,-38.41848724,34.64726459,73.06575183,"Centrophorus_moluccensis"
"133",339,"Elasmobranchii","Galeomorphs","Heterodontiformes","Heterodontidae","Heterodontus","Heterodontus_zebra","Heterodontus zebra","LC","#60C659",50.00896813,49.0710193,28.54128912,76.24627666,23.40896366,126.3968022,"Heterodontus zebra","Heterodontus zebra","Coastal and Continental",122,50,200,125,150,2.086359831,1.698970004,2.301029996,"2.176091259",0,0.400498857,0.281758946,"notTHR","notTHR","green","green","LC","#60C659","molecular",4199480,1106.010573,366.4998752,4199480,-21.11947326,42.23533249,63.35480575,"Heterodontus_zebra"
"134",336,"Elasmobranchii","Galeomorphs","Heterodontiformes","Heterodontidae","Heterodontus","Heterodontus_portusjacksoni","Heterodontus portusjacksoni","LC","#60C659",49.79841478,49.05287477,28.26001297,74.33721936,23.78259587,126.3967172,"Heterodontus portusjacksoni","Heterodontus portusjacksoni","Coastal and Continental",237,1,275,138,274,2.374748346,0,2.439332694,"2.437750563",0,0.530288966,0.669789328,"THR","THR","red","red","LC","#60C659","molecular",1324870,286.1059419,132.8693256,1324870,-45.33083212,-26.88899591,18.4418362,"Heterodontus_portusjacksoni"
"135",1139,"Elasmobranchii","Batoidea","Torpediniformes","Narcinidae","Narcine","Narcine_lasti","Narcine lasti","LC","#60C659",49.35279721,49.01711482,40.69326313,58.86447413,32.21162572,71.10069066,"Narcine lasti","Narcine lasti","Deepwater",37,170,350,260,180,1.568201724,2.230448921,2.544068044,"2.255272505",0,0.206505598,0.123642926,"notTHR","notTHR","green","green","LC","#60C659","molecular",496473,68.8621182,42.32601405,496473,-30.57052474,-9.467465125,21.10305962,"Narcine_lasti"
"136",1149,"Elasmobranchii","Batoidea","Torpediniformes","Narcinidae","Narcine","Narcine_tasmaniensis","Narcine tasmaniensis","LC","#60C659",49.35279721,49.01711482,40.69326313,58.86447413,32.21162572,71.10069066,"Narcine tasmaniensis","Narcine tasmaniensis","Deepwater",47,100,600,350,500,1.672097858,2,2.77815125,"2.698970004",0,0.23919621,0.15996026,"notTHR","notTHR","green","green","LC","#60C659","molecular",618484,201.4301768,62.74873078,618484,-44.54329257,-30.00340741,14.53988516,"Narcine_tasmaniensis"
"137",76,"Elasmobranchii","Galeomorphs","Carcharhiniformes","Pseudotriakidae","Gollum","Gollum_attenuatus","Gollum attenuatus","LC","#60C659",48.86054258,48.99549357,27.71945996,71.32251053,20.97942169,106.5547972,"Gollum attenuatus","Gollum attenuatus","Deepwater",110,129,724,426.5,595,2.041392685,2.11058971,2.859738566,"2.774516966",0,0.381025029,0.213457316,"notTHR","notTHR","green","green","LC","#60C659","molecular",499181,103.8491337,49.18387037,499181,-40.92975912,-27.36163078,13.56812834,"Gollum_attenuatus"
"138",77,"Elasmobranchii","Galeomorphs","Carcharhiniformes","Pseudotriakidae","Gollum","Gollum_suluensis","","NE","#FFFFFF",48.86054258,48.99549357,27.71945996,71.32251053,20.97942169,106.5547972,"Gollum suluensis","","Deepwater",112,730,731,730.5,1,2.049218023,2.86332286,2.863917377,"0",NA,0.384388476,0.133429758,"notTHR","notTHR","green","green","notTHR","#90E2F6","taxonomic",NA,NA,NA,NA,NA,NA,NA,"Gollum_suluensis"
"139",332,"Elasmobranchii","Galeomorphs","Heterodontiformes","Heterodontidae","Heterodontus","Heterodontus_galeatus","Heterodontus galeatus","LC","#60C659",49.74740447,48.93971028,28.41783834,74.95528981,23.78259587,126.5523526,"Heterodontus galeatus","Heterodontus galeatus","Coastal and Continental",152,1,93,47,92,2.181843588,0,1.968482949,"1.963787827",0,0.442834869,0.617262307,"notTHR","THR","green","red","LC","#60C659","molecular",174831,68.17720745,15.76044952,174831,-32.50643261,-21.31025459,11.19617802,"Heterodontus_galeatus"
"140",1116,"Elasmobranchii","Squalimorphs","Squatiniformes","Squatinidae","Squatina","Squatina_squatina","Squatina squatina","CR","#D81E05",46.61704772,48.80146619,27.15670627,64.56916331,14.50677589,100.9775712,"Squatina squatina","Squatina squatina","Coastal and Continental",244,1,150,75.5,149,2.387389826,0,2.176091259,"2.173186268",1,0.536013573,0.673104082,"THR","THR","red","red","CR","#D81E05","molecular",177906,33.76059056,16.42796173,177906,26.73950195,31.21148682,4.471984863,"Squatina_squatina"
"141",1099,"Elasmobranchii","Squalimorphs","Squatiniformes","Squatinidae","Squatina","Squatina_aculeata","Squatina aculeata","CR","#D81E05",46.5260539,48.7130815,27.26827616,64.79229317,13.75126455,100.9775712,"Squatina aculeata","Squatina aculeata","Coastal and Continental",188,30,500,265,470,2.274157849,1.477121255,2.698970004,"2.672097858",1,0.48457764,0.367546599,"notTHR","notTHR","green","green","CR","#D81E05","molecular",2643450,472.3353627,242.1424549,2643450,-17.20945206,44.43041611,61.63986817,"Squatina_aculeata"
