"","toppID","TOPP.ID","serialNumber","commonName","yearDeployed","project","isDrifter","firstDetectionTime","firstDetectionLong","firstDetectionLat","numberDetections"
"169","1610008","1610008",87545,"Blue Shark",2010,1,0,"2010-08-05T16:40:18Z","234.126","47.673",13
"170","1610009","1610009",87544,"Blue Shark",2010,1,0,"2010-08-17T21:58:35Z","230.915","44.279",6
"171","1610010","1610010",100957,"Blue Shark",2010,1,0,"2010-09-25T14:27:11Z","238.336","33.325",37
"172","1611001","1611001",109086,"Blue Shark",2011,1,0,"2011-07-13T02:31:52Z","240.545","31.628",17
"173","1611002","1611002",87548,"Blue Shark",2011,1,0,"2011-10-31T09:32:48Z","238.562","32.899",1
"174","1611003","1611003",88513,"Blue Shark",2011,1,0,"2011-11-06T03:58:35Z","241.478","30.935",1
"175","1611004","1611004",109085,"Blue Shark",2011,1,0,"2011-11-26T05:09:50Z","234.541","22.217",4
"176","1611005","1611005",109087,"Blue Shark",2011,1,0,"2011-11-10T01:28:35Z","242.143","30.33",5
"177","1612001","1612001",96298,"Blue Shark",2012,1,0,"2012-07-09T03:22:30Z","241.267","28.855",1
"178","1612002","1612002",95119,"Blue Shark",2012,1,0,"2012-07-03T13:59:31Z","241.007","33.909",2
"179","1612003","1612003",100947,"Blue Shark",2012,1,0,"2012-06-25T18:36:05Z","242.22299","33.305",9
"180","1612004","1612004",88513,"Blue Shark",2012,1,0,"2012-07-15T12:30:28Z","240.695","33.856",20
"181","1612005","1612005",109084,"Blue Shark",2012,1,0,"2012-07-21T04:20:37Z","240.59201","33.833",7
"182","1614001","1614001",120689,"Blue Shark",2014,1,0,"2014-07-15T22:29:03Z","237.389","32.745",5
"183","1614002","1614002",120685,"Blue Shark",2014,1,0,"2014-10-29T02:03:45Z","236.956","28.185",23
"184","1615001","1615001",126297,"Blue Shark",2015,1,0,"2015-06-30T23:47:20Z","240.294","32.4",2
"185","1615002","1615002",147094,"Blue Shark",2015,1,0,"2015-10-21T01:44:03Z","236.85501","36.056",3
"186","1615003","1615003",147095,"Blue Shark",2015,1,0,"2015-10-17T18:26:43Z","237.575","36.372",9
"187","1615004","1615004",143544,"Blue Shark",2015,1,0,"2015-10-20T05:04:13Z","237.25299","36.093",9
"188","1615005","1615005",147093,"Blue Shark",2015,1,1,"2015-11-09T14:49:41Z","237.918","36.735",17
"189","1615006","1615006",147092,"Blue Shark",2015,1,1,"2016-07-26T23:36:05Z","236.17","20.782",19
"190","1615007","1615007",135024,"Blue Shark",2015,1,0,"2015-11-15T06:53:54Z","237.28","36.144",12
"191","1616001","1616001",160287,"Blue Shark",2016,1,0,"2016-09-27T00:28:07Z","237.514","36.857",70
"192","1617001","1617001",33129,"Blue Shark",2017,1,0,"2017-08-13T01:20:37Z","290.863","41.458",15
"193","1702001","1702001",3265,"Salmon Shark",2002,1,1,"2002-11-15T18:09:38Z","234.90799","42.198",5
"194","1702002","1702002",37376,"Salmon Shark",2002,1,0,"2002-07-18T03:16:20Z","214.14","60.588",38
"195","1702003","1702003",37383,"Salmon Shark",2002,1,0,"2002-09-12T10:21:00Z","213.218","60.527",34
"196","1702004","1702004",30375,"Salmon Shark",2002,1,1,"2003-01-13T17:53:22Z","213.287","60.781",6
"197","1702005","1702005",30258,"Salmon Shark",2002,1,1,"2003-01-13T15:40:08Z","226.314","57.294",5
"198","1702006","1702006",37379,"Salmon Shark",2002,1,0,"2002-10-05T15:22:54Z","207.491","58.058",3
"199","1702007","1702007",3207,"Salmon Shark",2002,1,1,"2002-09-15T19:50:39Z","213.091","60.529",7
"200","1702008","1702008",37380,"Salmon Shark",2002,1,0,"2002-09-17T12:57:11Z","212.663","54.593",20
"201","1702009","1702009",37374,"Salmon Shark",2002,1,0,"2002-09-23T05:33:16Z","213.15","60.399",8
"202","1702010","1702010",37377,"Salmon Shark",2002,1,0,"2003-01-13T05:35:05Z","209.846","58.117",18
"203","1702011","1702011",37382,"Salmon Shark",2002,1,0,"2002-10-10T07:26:53Z","200.489","55.002",17
