deployment_project_reference,datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,frequencies_monitored,receiver_coding_scheme,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id,bottom_depth,depth,deployment_comments,deployed_by,expected_receiver_life
,,,,,,,,,degrees_north,degrees_east,UTC,UTC,,,,m,m,,,
ASF,OTN-Global,ASF-REST 4-2016-VR2W-109395,OTN-GlobalASFASF-REST 4-2016-VR2W-109395,VEMCO,VR2W,,,109395,48.01045,-66.675533,2016-05-03T12:33:00Z,2016-10-28T10:31:00Z,ASF,ManmadePlatform,ASF_REST 4-2016,6.096,NaN,,,NaN
ASF,OTN-Global,ASF-REST 5-2016-VR2W-109396,OTN-GlobalASFASF-REST 5-2016-VR2W-109396,VEMCO,VR2W,,,109396,48.011683,-66.676567,2016-05-03T12:13:00Z,2016-10-28T11:01:00Z,ASF,ManmadePlatform,ASF_REST 5-2016,5.4864,NaN,,,NaN
ASF,OTN-Global,ASF-REST 6-2016-VR2W-109524,OTN-GlobalASFASF-REST 6-2016-VR2W-109524,VEMCO,VR2W,,,109524,48.013183,-66.677867,2016-05-03T12:25:00Z,2016-10-28T10:40:00Z,ASF,ManmadePlatform,ASF_REST 6-2016,3.6576,NaN,,,NaN
ASF,OTN-Global,ASF-SOBI 10-2016-VR2W-104381,OTN-GlobalASFASF-SOBI 10-2016-VR2W-104381,VEMCO,VR2W,,,104381,51.4187183,-56.69033,2016-06-16T12:45:00Z,,ASF,ManmadePlatform,ASF_SOBI 10-2016,81.4,NaN,,,NaN
ASF,OTN-Global,ASF-SOBI 11-2016-VR2W-120026,OTN-GlobalASFASF-SOBI 11-2016-VR2W-120026,VEMCO,VR2W,,,120026,51.4238117,-56.69896,2016-06-16T12:50:00Z,2016-08-31T17:00:00Z,ASF,ManmadePlatform,ASF_SOBI 11-2016,66.4,NaN,,,NaN
ASF,OTN-Global,ASF-SOBI 1-2016-VR2W-120023,OTN-GlobalASFASF-SOBI 1-2016-VR2W-120023,VEMCO,VR2W,,,120023,51.3770433,-56.6155133,2016-06-16T08:17:00Z,2016-08-31T15:15:00Z,ASF,ManmadePlatform,ASF_SOBI 1-2016,1.8,NaN,,,NaN
ASF,OTN-Global,ASF-SOBI 12-2016-VR2W-104383,OTN-GlobalASFASF-SOBI 12-2016-VR2W-104383,VEMCO,VR2W,,,104383,51.4287967,-56.7070217,2016-06-16T12:55:00Z,2016-08-31T17:15:00Z,ASF,ManmadePlatform,ASF_SOBI 12-2016,65.5,NaN,,,NaN
ASF,OTN-Global,ASF-SOBI 13-2016-VR2W-105268,OTN-GlobalASFASF-SOBI 13-2016-VR2W-105268,VEMCO,VR2W,,,105268,51.433725,-56.7153817,2016-06-16T13:00:00Z,2016-08-31T17:23:00Z,ASF,ManmadePlatform,ASF_SOBI 13-2016,60.7,NaN,,,NaN
ASF,OTN-Global,ASF-SOBI 14-2016-VR2W-105269,OTN-GlobalASFASF-SOBI 14-2016-VR2W-105269,VEMCO,VR2W,,,105269,51.4373233,-56.7256,2016-06-16T13:05:00Z,2016-08-31T17:35:00Z,ASF,ManmadePlatform,ASF_SOBI 14-2016,65.5,NaN,,,NaN
ASF,OTN-Global,ASF-SOBI 15-2016-VR2W-105270,OTN-GlobalASFASF-SOBI 15-2016-VR2W-105270,VEMCO,VR2W,,,105270,51.44216,-56.733925,2016-06-16T13:10:00Z,2016-08-31T17:45:00Z,ASF,ManmadePlatform,ASF_SOBI 15-2016,62.8,NaN,,,NaN
ASF,OTN-Global,ASF-SOBI 16-2016-VR2W-109522,OTN-GlobalASFASF-SOBI 16-2016-VR2W-109522,VEMCO,VR2W,,,109522,51.4472367,-56.7413967,2016-06-16T13:15:00Z,,ASF,ManmadePlatform,ASF_SOBI 16-2016,56.7,NaN,,,NaN
