date,Tag.ID,Transmitter.Name,common_name,Consecutive.Dispersal
2002-11-10,37376,1702002,Salmon Shark,161.85821868236485
2002-11-12,37381,1702001,Salmon Shark,35.93999395409305
2002-11-13,37376,1702002,Salmon Shark,57.90556720963114
2002-11-14,37375,1702005,Salmon Shark,59.161114249876135
2002-11-14,37376,1702002,Salmon Shark,17.30709488981048
2002-11-15,37374,1702009,Salmon Shark,44.97856720633188
2002-11-15,37375,1702005,Salmon Shark,32.91576459769625
2002-11-15,37376,1702002,Salmon Shark,8.579966938556089
2002-11-17,37375,1702005,Salmon Shark,42.54828391015603
2002-11-17,37376,1702002,Salmon Shark,34.31307668000054
2002-11-17,37383,1702003,Salmon Shark,166.26947387843936
2002-11-18,37376,1702002,Salmon Shark,36.501350244560406
2002-11-19,37376,1702002,Salmon Shark,16.923983455235895
2002-11-19,37381,1702001,Salmon Shark,200.75057762720397
2002-11-20,37376,1702002,Salmon Shark,8.353825195798331
2002-11-21,37381,1702001,Salmon Shark,102.44670412092984
2002-11-22,37376,1702002,Salmon Shark,26.589293062510283
2002-11-23,37374,1702009,Salmon Shark,13.785213177717134
2002-11-25,37376,1702002,Salmon Shark,23.348665778575732
2002-11-25,37381,1702001,Salmon Shark,108.39162195852248
2002-11-25,37383,1702003,Salmon Shark,150.43738877674267
2002-11-26,37376,1702002,Salmon Shark,14.302324678899286
2002-11-27,37376,1702002,Salmon Shark,18.050504031439772
2002-11-28,37381,1702001,Salmon Shark,82.38896697368757
2002-11-29,37380,1702008,Salmon Shark,1186.0514821499767
2002-11-29,37383,1702003,Salmon Shark,29.57481562529964
2002-11-30,37383,1702003,Salmon Shark,9.829101778510115
2002-12-01,37381,1702001,Salmon Shark,39.00053094980433
2002-12-03,37374,1702009,Salmon Shark,396.12430057562625
2002-12-03,37381,1702001,Salmon Shark,19.295548045972815
2002-12-04,37376,1702002,Salmon Shark,11.87529750672066
2002-12-05,37374,1702009,Salmon Shark,181.2961734144891
2002-12-05,37375,1702005,Salmon Shark,678.717397737646
2002-12-05,37376,1702002,Salmon Shark,18.343943262176413
2002-12-05,37381,1702001,Salmon Shark,64.69128787021383
