date,Tag.ID,Transmitter.Name,common_name,Daily.Dispersal,mean.Daily.Velocity
2002-09-07,37097,1602001,Blue Shark,778.73251451669,5.484967659291739
2002-09-07,37376,1702002,Salmon Shark,39.39083102843503,9.523252031165121
2002-09-07,37381,1702001,Salmon Shark,26.454653340671697,24.184808310679774
2002-09-08,37097,1602001,Blue Shark,37.07943054111675,0.7964444006770662
2002-09-08,37376,1702002,Salmon Shark,48.72777435865973,38.49391702101308
2002-09-08,37381,1702001,Salmon Shark,25.90833649011395,0.5718936502676049
2002-09-09,37381,1702001,Salmon Shark,27.08306494533259,25.64358149344368
2002-09-10,36895,1602002,Blue Shark,129.2267329091268,13.722563556631417
2002-09-10,37097,1602001,Blue Shark,38.03928292565442,7.4413661367139134
2002-09-10,37381,1702001,Salmon Shark,37.553424008679926,1.7128563555550342
2002-09-11,36894,1602003,Blue Shark,4.821997202334717,0.21750338600545951
