"","G.species","Length_cm","body.mass.kg","sex","tag_id","tag_project_name","tag.type","num_det","days_det","num_stations","DI","ReleaseDate","release_latitude","release_longitude","days.at.liberty","dis_min","dis_25","dis_50","dis_75","dis_max","dis_mean","dis_sd","Habitat","Trophic.group","Common.Name","vel_min","vel_25","vel_50","vel_75","vel_max","vel_mean","vel_sd","subclass","superorder","order","family","Genus","species","IUCN_Scientific_name","size.at.mat","max.size","pup.size","length.weight.a","length.weight.b","habitat","habitat2","min.depth","max.depth","median.depth","range.depth","min.lat","max.lat","range.lat","area","age.mat","max.age","k","bearing.mode","trophic.mode","repro.coarse","mode","breeding.interval","development","litter.size","median.ED","Red.List.status.new"
"267","Trygonoptera_testacea",30.5,0.3252905985,"F","69918627","NSW DPI Coastal and Estuarine Fish Tracking (CEFT)","PassAcoustic",385,10,2,0.006184292,2012-02-12,-35.6906,150.1297,1616,0,0,0,0,1.225497136,0.008098308,0.094416133,"B","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,"batoids","Batoidea","Myliobatiformes","Urolophidae","Trygonoptera","Trygonoptera_testacea","Trygonoptera testacea",24,34,NA,0.0269,3.02,"Shelf","Coastal and Continental",1,135,68,134,-37.52922361,-26.41449876,11.11472485,49873.3984,NA,NA,NA,"live-bearing","matrotroph","matrotrophic_lb","Lipid Histotrophy",NA,12,2,48.15004081,"LC"
"268","Carcharhinus_brachyurus",86,4.549207304,"F","3084757","Gulf St Vincent monitoring","PassAcoustic",129,18,2,0.006252171,NA,-34.5521,138.2459,2878,0,0,0,0,2.556469767,0.035797465,0.237329309,"P","Carnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_brachyurus","Carcharhinus brachyurus",206.1,275,65,0.014,2.9,"Shelf","Pelagic",1,100,50.5,99,-52.5772655,45.79730606,98.37457156,7865880,20.9,34.5,0.049,"live-bearing","matrotroph","matrotrophic_lb","Placental",2,18,16.6,25.07939095,"NT"
"269","Dasyatis_brevicaudata",65,3.397842826,"F","110520093","Chondrichthyan monitoring of south-east Australia","PassAcoustic",16,4,6,0.006319115,2003-06-12,-42.7987,147.5044,633,0,0,0,1.405294629,60.12207066,5.777444506,14.67604518,"B","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,"batoids","Batoidea","Myliobatiformes","Dasyatidae","Dasyatis","Dasyatis_brevicaudata","Dasyatis brevicaudata",NA,210,36,0.0739,2.81,"Deep","Deepwater",156,480,318,324,-47.28432308,-22.15588039,25.12844269,1240900,NA,NA,NA,"live-bearing","matrotroph","matrotrophic_lb","Lipid Histotrophy",NA,NA,8,24.78498615,"LC"
"270","Carcharhinus_tilstoni",74.5,3.118031695,"F","43604234","JCU Cleveland Bay","PassAcoustic",382,4,18,0.006379585,NA,-19.2706,146.9626,627,0,0,0,0,82.77942803,0.34083846,4.278928476,"P","Carnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus_tilstoni","Carcharhinus tilstoni",115,196,60,0.00562,3.09,"Shelf","Coastal and Continental",1,150,75.5,149,-23.94143092,-9.821875025,14.11955589,1353040,3.5,12,0.14,"live-bearing","matrotroph","matrotrophic_lb","Placental",1,10,3,15.79705872,"LC"
"271","Callorhinchus_milii",88,4.863198451,"F","5354115","Seven Gill tracking in Coastal Tasmania","PassAcoustic",120,8,3,0.0064,NA,-42.8664,147.3445,1250,0,0,0,0,22.48647553,0.315230373,2.309549765,"B","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,"chimaeras","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus","Callorhinchus_milii","Callorhinchus milii",71,97,NA,0.00417,3.12,"Shelf","Deepwater",10,227,118.5,217,-48.74916758,-31.46841621,17.28075136,1188820,4.5,15,0.224,"egg-laying","lecithotroph","egg-laying","Egg-Laying",1,10,13,70.53257739,"LC"
"272","Mustelus_antarcticus",93,4.074025985,"F","5354170","Seven Gill tracking in Coastal Tasmania","PassAcoustic",51,8,2,0.0064,NA,-42.9996,147.7841,1250,0,0,0,0,8.112648457,0.256669415,1.34087654,"B","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Triakidae","Mustelus","Mustelus_antarcticus","Mustelus antarcticus",112,175,33,0.00652,3,"Shelf","Coastal and Continental",1,350,175.5,349,-44.89878191,-27.8973012,17.00148071,850043,6.4,16,0.086,"live-bearing","matrotroph","matrotrophic_lb","Mucoid Histotrophy",2,11,16,14.84445456,"LC"
"273","Mustelus_antarcticus",90,3.670618071,"F","5354174","Seven Gill tracking in Coastal Tasmania","PassAcoustic",70,8,4,0.0064,NA,-42.9996,147.7841,1250,0,0,0,0,7.627641301,0.261525104,1.103974266,"B","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Carcharhiniformes","Triakidae","Mustelus","Mustelus_antarcticus","Mustelus antarcticus",112,175,33,0.00652,3,"Shelf","Coastal and Continental",1,350,175.5,349,-44.89878191,-27.8973012,17.00148071,850043,6.4,16,0.086,"live-bearing","matrotroph","matrotrophic_lb","Mucoid Histotrophy",2,11,16,14.84445456,"LC"
"274","Notorynchus_cepedianus",262,76.8640326,"F","5353968","Seven Gill tracking in Coastal Tasmania","PassAcoustic",95,8,3,0.0064,2002-08-08,-42.9996,147.7841,1250,0,0,0,0,34.47703194,1.435622282,6.789286859,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Squalimorphs","Hexanchiformes","Hexanchidae","Notorynchus","Notorynchus_cepedianus","Notorynchus cepedianus",231,291,40,0.0068,3,"Shelf","Coastal and Continental",1,136,68.5,135,-57.61562783,56.79211426,114.4077421,5976450,16,28.5,0.291,"live-bearing","lecithotroph","lecithotrophic_lb","Yolk-sac Live-bearing",2,12,88.5,105.6322311,"THR"
"275","Notorynchus_cepedianus",200,35.26157126,"F","5353952","Seven Gill tracking in Coastal Tasmania","PassAcoustic",108,8,3,0.0064,NA,-42.9996,147.7841,1250,0,0,0,0,13.29617656,0.251447453,1.58500197,"P","Top",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Squalimorphs","Hexanchiformes","Hexanchidae","Notorynchus","Notorynchus_cepedianus","Notorynchus cepedianus",231,291,40,0.0068,3,"Shelf","Coastal and Continental",1,136,68.5,135,-57.61562783,56.79211426,114.4077421,5976450,16,28.5,0.291,"live-bearing","lecithotroph","lecithotrophic_lb","Yolk-sac Live-bearing",2,12,88.5,105.6322311,"THR"
"276","Squalus_acanthias",72,1.419906909,"F","5354147","Seven Gill tracking in Coastal Tasmania","PassAcoustic",170,8,2,0.0064,NA,-42.8664,147.3445,1250,0,0,0,0,12.40853987,0.31874899,1.635557196,"B","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Squalimorphs","Squaliformes","Squalidae","Squalus","Squalus_acanthias","Squalus acanthias",78.5,110,25,0.006076667,2.988333333,"Shelf","Coastal and Continental",1,600,300.5,599,-57.24737659,72.58384705,129.8312236,16899100,12.5,30.5,0.089,"live-bearing","lecithotroph","lecithotrophic_lb","Yolk-sac Live-bearing",3,22,8,32.32948436,"VU"
"277","Heterodontus_portusjacksoni",87.5,4.456713607,"F","117393631","MQ Port Jackson shark movements and social networks","PassAcoustic",278,4,9,0.006420546,2010-09-14,-35.0467,150.6775,622,0,0,0,0,138.1614852,0.585937669,8.241218638,"B","Omnivore",NA,NA,NA,NA,NA,NA,NA,NA,"sharks","Galeomorphs","Heterodontiformes","Heterodontidae","Heterodontus","Heterodontus_portusjacksoni","Heterodontus portusjacksoni",87.5,123,23,0.00389,3.12,"Shelf","Coastal and Continental",1,275,138,274,-45.33083212,-26.88899591,18.4418362,1324870,12.5,NA,0.082,"egg-laying","lecithotroph","egg-laying","Egg-Laying",1,12,13.5,49.05287477,"LC"
